iteration,fidelity,n_samples,metallicity,envelope_eff_alpha,sigma_bh,sigma_ns,y_cnp,y_cnp_err,y_raw,log_prop,bce
0.00000,0.00000,1000.00000,0.01949,20.82082,548.49847,82.43243,0.19187,0.02192,0.00300,0.66460,0.33797
0.00000,0.00000,1000.00000,0.02826,57.75776,288.27829,96.99699,0.17472,0.02192,0.00100,0.64363,0.27841
0.00000,0.00000,1000.00000,0.00576,77.87788,697.05707,635.88586,0.19325,0.02192,0.01100,0.66108,0.32906
0.00000,0.00000,1000.00000,0.01132,56.45646,966.01599,199.91992,0.19692,0.02192,0.00400,0.67834,0.39371
0.00000,0.00000,1000.00000,0.02817,22.92292,654.33435,475.67569,0.21163,0.02192,0.00100,0.68508,0.40051
0.00000,0.00000,1000.00000,0.02282,98.59860,590.25024,886.39642,0.17659,0.02192,0.00100,0.66248,0.32813
0.00000,0.00000,1000.00000,0.00983,96.39639,194.09410,317.40741,0.18873,0.02192,0.00700,0.64680,0.28831
0.00000,0.00000,1000.00000,0.02180,37.03704,188.26826,420.33032,0.18983,0.02192,0.00100,0.64357,0.28441
0.00000,0.00000,1000.00000,0.01812,48.64865,926.20618,791.24121,0.20317,0.02192,0.00200,0.67984,0.38384
0.00000,0.00000,1000.00000,0.01198,24.92492,865.03503,216.42642,0.19962,0.02192,0.00300,0.67493,0.38330
0.00000,0.00000,1000.00000,0.00615,79.27928,175.64565,785.41541,0.20245,0.02192,0.01500,0.65981,0.31367
0.00000,0.00000,1000.00000,0.01734,0.00000,165.93593,962.13214,0.20011,0.02192,0.00200,0.65405,0.30299
0.00000,0.00000,1000.00000,0.02359,38.73874,576.65668,990.29028,0.19105,0.02192,0.00100,0.66475,0.33873
0.00000,0.00000,1000.00000,0.00878,16.21622,892.22223,312.55255,0.20836,0.02192,0.00400,0.67912,0.38198
0.00000,0.00000,1000.00000,0.01324,89.98999,249.43944,765.99597,0.17865,0.02192,0.00200,0.64821,0.28734
0.00000,0.00000,1000.00000,0.02572,68.86887,693.17316,848.52850,0.20040,0.02192,0.00100,0.67867,0.38148
0.00000,0.00000,1000.00000,0.02416,95.79580,756.28632,153.31331,0.18723,0.02192,0.00100,0.66627,0.34529
0.00000,0.00000,1000.00000,0.00058,34.63464,462.08209,436.83682,0.23780,0.02192,0.02800,0.67226,0.36431
0.00000,0.00000,1000.00000,0.00483,52.65265,789.29932,513.54352,0.19258,0.02192,0.01300,0.66837,0.35902
0.00000,0.00000,1000.00000,0.00920,32.63263,74.66467,977.66766,0.17850,0.02192,0.00500,0.65345,0.28746
0.00000,0.00000,1000.00000,0.00133,54.05405,712.59259,649.47949,0.20834,0.02192,0.01900,0.66810,0.35367
0.00000,0.00000,1000.00000,0.01946,42.84284,884.45447,989.31934,0.20636,0.02192,0.00200,0.68803,0.41194
0.00000,0.00000,1000.00000,0.01375,95.79580,992.23224,988.34833,0.18535,0.02192,0.00300,0.67485,0.37663
0.00000,0.00000,1000.00000,0.02680,22.22222,652.39240,712.59259,0.20897,0.02192,0.00200,0.67674,0.37604
0.00000,0.00000,1000.00000,0.01638,58.55856,642.68268,406.73672,0.17935,0.02192,0.00200,0.66299,0.35115
0.00000,0.00000,1000.00000,0.00680,18.31832,269.82983,969.89990,0.20945,0.02192,0.01400,0.66024,0.32396
0.00000,0.00000,1000.00000,0.01231,56.15615,906.78680,967.95795,0.19599,0.02192,0.00300,0.67944,0.38989
0.00000,0.00000,1000.00000,0.00118,98.69870,248.46848,740.75073,0.17795,0.02192,0.01600,0.64206,0.26826
0.00000,0.00000,1000.00000,0.02805,97.29729,738.80884,860.18018,0.20065,0.02192,0.00100,0.67843,0.37424
0.00000,0.00000,1000.00000,0.00740,78.17818,705.79578,836.87689,0.18823,0.02192,0.00800,0.66314,0.34005
0.00000,0.00000,1000.00000,0.01776,16.21622,41.65165,116.41642,0.11863,0.02192,0.00200,0.59963,0.15775
0.00000,0.00000,1000.00000,0.01064,79.77978,625.20520,257.20721,0.17686,0.02192,0.00400,0.65570,0.31999
0.00000,0.00000,1000.00000,0.01004,4.80480,608.69867,212.54254,0.19544,0.02192,0.00300,0.66235,0.33727
0.00000,0.00000,1000.00000,0.00659,30.53053,802.89288,650.45044,0.20214,0.02192,0.01000,0.66886,0.35657
0.00000,0.00000,1000.00000,0.02982,80.38038,364.98499,197.00700,0.17296,0.02192,0.00300,0.64380,0.28438
0.00000,0.00000,1000.00000,0.01159,40.04004,703.85388,159.13914,0.17931,0.02192,0.00300,0.65500,0.32203
0.00000,0.00000,1000.00000,0.00040,14.41441,141.66167,103.79379,0.20229,0.02192,0.01900,0.64809,0.29520
0.00000,0.00000,1000.00000,0.00249,64.16416,596.07605,398.96896,0.18728,0.02192,0.01700,0.65594,0.32465
0.00000,0.00000,1000.00000,0.02970,100.00000,592.19220,585.39539,0.17078,0.02192,0.00300,0.64494,0.27968
0.00000,0.00000,1000.00000,0.00701,88.48849,202.83284,705.79578,0.19823,0.02192,0.01000,0.65535,0.30300
0.00000,0.00000,1000.00000,0.02524,49.94995,545.58557,115.44544,0.17418,0.02192,0.00400,0.64478,0.28415
0.00000,0.00000,1000.00000,0.02183,68.96897,334.88489,404.79480,0.18817,0.02192,0.00300,0.64635,0.29424
0.00000,0.00000,1000.00000,0.02746,92.59259,416.44644,947.56757,0.16113,0.02192,0.00300,0.63551,0.25689
0.00000,0.00000,1000.00000,0.01435,96.69669,897.07709,941.74176,0.18078,0.02192,0.00200,0.66524,0.34472
0.00000,0.00000,1000.00000,0.00450,20.52052,176.61662,351.39139,0.20872,0.02192,0.01400,0.64863,0.30322
0.00000,0.00000,1000.00000,0.00674,46.24625,865.03503,872.80280,0.20584,0.02192,0.01000,0.67612,0.37100
0.00000,0.00000,1000.00000,0.01659,1.50150,964.07410,442.66266,0.22701,0.02192,0.00300,0.68830,0.40215
0.00000,0.00000,1000.00000,0.01641,95.69569,699.96997,900.96094,0.18250,0.02192,0.00300,0.66231,0.33000
0.00000,0.00000,1000.00000,0.00579,50.55055,843.67365,75.63564,0.21014,0.02192,0.01100,0.68048,0.38921
0.00000,0.00000,1000.00000,0.00435,81.18118,934.94495,966.98700,0.20352,0.02192,0.01400,0.67509,0.36642
0.00000,0.00000,1000.00000,0.02802,77.57758,688.31830,735.89587,0.19333,0.02192,0.00400,0.66296,0.33154
0.00000,0.00000,1000.00000,0.01689,87.68769,447.51752,580.54053,0.19023,0.02192,0.00400,0.65513,0.31278
0.00000,0.00000,1000.00000,0.01596,41.74174,868.91895,897.07709,0.20677,0.02192,0.00400,0.68015,0.37697
0.00000,0.00000,1000.00000,0.02413,4.50450,153.31331,722.30231,0.20884,0.02192,0.00500,0.65296,0.30935
0.00000,0.00000,1000.00000,0.02701,40.04004,221.28128,719.38940,0.21124,0.02192,0.00300,0.65972,0.32946
0.00000,0.00000,1000.00000,0.01159,84.48448,937.85785,244.58458,0.18830,0.02192,0.00500,0.66508,0.34592
0.00000,0.00000,1000.00000,0.02512,21.12112,487.32733,828.13812,0.19866,0.02192,0.00400,0.65850,0.32320
0.00000,0.00000,1000.00000,0.01593,81.58158,334.88489,92.14214,0.17672,0.02192,0.00500,0.63956,0.26872
0.00000,0.00000,1000.00000,0.02003,3.70370,356.24625,820.37036,0.21979,0.02192,0.00500,0.66590,0.35176
0.00000,0.00000,1000.00000,0.01243,6.20621,30.97097,454.31430,0.13116,0.02192,0.00400,0.60935,0.18341
0.00000,0.00000,1000.00000,0.01037,55.85585,462.08209,309.63965,0.20723,0.02192,0.00500,0.67539,0.38040
0.00000,0.00000,1000.00000,0.02614,85.48549,591.22119,878.62860,0.18229,0.02192,0.00400,0.65809,0.31426
0.00000,0.00000,1000.00000,0.00920,79.37938,629.08911,95.05505,0.19013,0.02192,0.00700,0.65442,0.30683
0.00000,0.00000,1000.00000,0.01129,77.97798,673.75378,994.17419,0.18897,0.02192,0.00500,0.66430,0.33268
0.00000,0.00000,1000.00000,0.01081,93.89389,119.32933,55.24525,0.19704,0.02192,0.00800,0.64997,0.30413
